gvkey,sector
161013,40
161036,25
161056,25
161067,40
161069,40
161813,20
161977,10
162160,60
162264,15
162272,10
162283,10
162329,50
162335,35
162338,20
162346,55
162354,45
162387,10
162448,10
162449,20
162501,50
162559,40
162584,40
162701,15
162720,20
162732,35
162733,45
162742,20
162809,35
162876,25
162887,35
162894,10
162907,45
163024,UNKNOWN
163036,20
163051,25
163113,15
163118,50
163124,25
163594,10
163595,15
163596,10
163627,30
163765,25
163772,45
163806,45
163877,20
163879,25
163884,60
163887,30
163893,35
163916,45
163921,10
163927,45
163930,20
163933,45
163935,10
163939,10
163946,15
163963,60
163977,25
163983,30
