gvkey,conm,tic,datadate,fyear,gsector,ggroup,gind,gsubind,naics,sic,naics2,naics3,sic2,sic4
023225,CABLE ONE INC,CABO,2025-12-31,2025,50,5020,502010,50201030,516210,4841,51,516,48,4841
023226,INUVO INC,INUV,2025-12-31,2025,45,4510,451030,45103010,519290,7370,51,519,73,7370
023243,KORNIT DIGITAL LTD,KRNT,2025-12-31,2025,20,2010,201060,20106020,333248,3555,33,333,35,3555
023249,LUMENTUM HOLDINGS INC,LITE,2025-06-30,2025,45,4520,452010,45201020,334210,3661,33,334,36,3661
023287,8POINT3 ENERGY PARTNERS LP,CAFD,2017-11-30,2017,55,5510,551050,55105020,221114,4991,22,221,49,4991
023291,BIOLASE INC,BIOLQ,2023-12-31,2023,35,3510,351010,35101010,339114,3843,33,339,38,3843
023335,ADURO BIOTECH INC,ADRO,2019-12-31,2019,35,3520,352010,35201010,325414,2836,32,325,28,2836
023339,ZEVRA THERAPEUTICS INC,ZVRA,2025-12-31,2025,35,3520,352020,35202010,325412,2834,32,325,28,2834
023358,CIDARA THERAPEUTICS INC,CDTX,2024-12-31,2024,35,3520,352010,35201010,325414,2836,32,325,28,2836
023363,ZAIS GROUP HLDGS INC,ZAIS,2017-12-31,2017,40,4020,402030,40203010,523920,6282,52,523,62,6282
023407,BLUEPRINT MEDICINES CORP,BPMC,2024-12-31,2024,35,3520,352010,35201010,325414,2836,32,325,28,2836
023423,APIGEE CORP,APIC,2016-07-31,2016,45,4510,451010,45101010,519130,7370,51,519,73,7370
023433,BLACK STONE MINERALS LP,BSM,2025-12-31,2025,10,1010,101020,10102020,002111,1311,00,002,13,1311
023464,OPTIMIZERX CORP,OPRX,2025-12-31,2025,35,3510,351030,35103010,518210,7370,51,518,73,7370
023494,CODE REBEL CORP,CDRBQ,2015-12-31,2015,45,4510,451030,45103010,511210,7370,51,511,73,7370
023537,CONSOL COAL RESOURCES LP,CCR,2019-12-31,2019,10,1010,101020,10102050,212112,1220,21,212,12,1220
023555,COLLEGIUM PHARMACEUTICAL INC,COLL,2025-12-31,2025,35,3520,352020,35202010,325412,2834,32,325,28,2834
023556,COMMUNITY HEALTHCARE TRUST,CHCT,2025-12-31,2025,60,6010,601050,60105010,531120,6798,53,531,67,6798
023574,ADAPTIMMUNE THERAPEUTICS PLC,ADAPY,2024-12-31,2024,35,3520,352010,35201010,325414,2836,32,325,28,2836
023577,TANDY BRANDS ACCESSORIES INC,TBACQ,2013-06-30,2013,25,2520,252030,25203010,315990,2300,31,315,23,2300
023587,HAYNES INTERNATIONAL INC,HAYN,2023-09-30,2023,15,1510,151040,15104050,331110,3310,33,331,33,3310
023698,ALTABANCORP,ALTA,2020-12-31,2020,40,4010,401010,40101015,522110,6020,52,522,60,6020
023704,INVUITY INC,IVTY,2017-12-31,2017,35,3510,351010,35101010,339112,3841,33,339,38,3841
023714,COMMUNITY HEALTH SYSTEMS INC,CYH,2025-12-31,2025,35,3510,351020,35102020,622110,8062,62,622,80,8062
